index	original	background	difference
-----------------------------------------------------
1	600	249	351
2	602	238	364
3	586	236	350
4	557	240	317
5	571	244	327
6	595	252	343
7	604	249	355
8	598	247	351
9	593	254	339
10	586	256	330
11	613	257	356
12	612	245	367
13	603	250	353
14	597	252	345
15	617	255	362
16	632	261	371
17	645	261	384
18	592	258	334
19	596	253	343
20	604	260	344
21	624	253	371
22	644	250	394
23	637	259	378
24	622	261	361
25	658	257	401
26	653	261	392
27	631	266	365
28	640	254	386
29	667	264	403
30	637	265	372
31	648	257	391
32	658	255	403
33	668	267	401
34	647	261	386
35	656	264	392
36	646	271	375
37	658	272	386
38	667	272	395
39	681	263	418
40	672	266	406
41	662	264	398
42	639	270	369
43	626	269	357
44	652	265	387
45	658	269	389
46	645	274	371
47	670	273	397
48	674	267	407
49	687	267	420
50	668	267	401
51	668	269	399
52	690	264	426
53	712	259	453
54	713	267	446
55	691	267	424
56	673	281	392
57	693	278	415
58	700	272	428
59	697	275	422
60	666	269	397
61	672	266	406
62	710	265	445
63	726	275	451
64	719	273	446
65	756	270	486
66	740	270	470
67	721	277	444
68	700	273	427
69	722	280	442
70	728	289	439
71	718	278	440
72	711	280	431
73	727	281	446
74	737	271	466
75	737	268	469
76	736	268	468
77	743	271	472
78	733	274	459
79	717	279	438
80	721	280	441
81	749	274	475
82	753	270	483
83	738	277	461
84	719	273	446
85	727	277	450
86	732	287	445
87	744	283	461
88	763	275	488
89	759	274	485
90	766	268	498
91	753	272	481
92	758	273	485
93	788	261	527
94	794	274	520
95	789	277	512
96	777	274	503
97	778	277	501
98	783	272	511
99	804	271	533
100	812	278	534
101	808	281	527
102	781	272	509
103	796	275	521
104	799	276	523
105	806	277	529
106	798	286	512
107	824	279	545
108	831	272	559
109	803	284	519
110	801	274	527
111	852	276	576
112	875	287	588
113	883	274	609
114	861	272	589
115	871	280	591
116	863	277	586
117	833	276	557
118	834	293	541
119	850	288	562
120	858	269	589
121	856	272	584
122	877	274	603
123	906	287	619
124	893	294	599
125	884	281	603
126	877	281	596
127	916	290	626
128	897	281	616
129	882	279	603
130	905	275	630
131	923	277	646
132	904	279	625
133	913	276	637
134	896	282	614
135	911	279	632
136	907	287	620
137	917	283	634
138	913	278	635
139	921	278	643
140	928	278	650
141	924	280	644
142	945	276	669
143	936	291	645
144	926	288	638
145	960	279	681
146	948	274	674
147	943	277	666
148	933	276	657
149	967	282	685
150	964	278	686
151	963	278	685
152	971	279	692
153	988	287	701
154	966	278	688
155	954	271	683
156	947	269	678
157	981	274	707
158	979	279	700
159	974	280	694
160	983	284	699
161	1001	277	724
162	1023	279	744
163	1012	279	733
164	1028	276	752
165	1049	279	770
166	1037	283	754
167	1049	286	763
168	1065	287	778
169	1042	292	750
170	1021	283	738
171	1042	288	754
172	1031	275	756
173	1046	269	777
174	1035	277	758
175	1040	288	752
176	1056	281	775
177	1089	282	807
178	1085	285	800
179	1105	281	824
180	1087	280	807
181	1052	280	772
182	1053	279	774
183	1064	285	779
184	1053	285	768
185	1074	279	795
186	1111	282	829
187	1107	286	821
188	1065	280	785
189	1099	283	816
190	1112	279	833
191	1121	281	840
192	1132	280	852
193	1137	279	858
194	1122	284	838
195	1108	283	825
196	1115	284	831
197	1109	277	832
198	1123	281	842
199	1141	283	858
200	1135	287	848
201	1148	288	860
202	1120	276	844
203	1123	282	841
204	1117	289	828
205	1152	286	866
206	1144	281	863
207	1127	282	845
208	1141	279	862
209	1176	279	897
210	1184	281	903
211	1156	283	873
212	1135	278	857
213	1155	276	879
214	1170	274	896
215	1158	268	890
216	1172	275	897
217	1185	284	901
218	1149	267	882
219	1150	290	860
220	1177	274	903
221	1176	272	904
222	1179	276	903
223	1200	281	919
224	1213	285	928
225	1184	280	904
226	1167	280	887
227	1208	284	924
228	1215	281	934
229	1198	274	924
230	1226	285	941
231	1209	275	934
232	1201	274	927
233	1240	285	955
234	1227	286	941
235	1267	286	981
236	1270	278	992
237	1230	277	953
238	1225	270	955
239	1217	275	942
240	1218	276	942
241	1206	280	926
242	1195	287	908
243	1236	288	948
244	1239	280	959
245	1255	273	982
246	1251	276	975
247	1264	287	977
248	1253	283	970
249	1242	280	962
250	1259	281	978
251	1247	279	968
252	1260	276	984
253	1291	283	1008
254	1277	280	997
255	1285	278	1007
