index	original	background	difference
-----------------------------------------------------
1	636	249	387
2	634	238	396
3	621	236	385
4	635	240	395
5	664	244	420
6	674	252	422
7	675	249	426
8	690	247	443
9	664	254	410
10	647	256	391
11	653	257	396
12	678	245	433
13	667	250	417
14	639	252	387
15	649	255	394
16	665	261	404
17	680	261	419
18	677	258	419
19	669	253	416
20	667	260	407
21	647	253	394
22	676	250	426
23	685	259	426
24	693	261	432
25	682	257	425
26	673	261	412
27	674	266	408
28	704	254	450
29	718	264	454
30	742	265	477
31	719	257	462
32	686	255	431
33	693	267	426
34	688	261	427
35	676	264	412
36	695	271	424
37	689	272	417
38	697	272	425
39	713	263	450
40	741	266	475
41	722	264	458
42	710	270	440
43	685	269	416
44	700	265	435
45	722	269	453
46	731	274	457
47	727	273	454
48	703	267	436
49	726	267	459
50	741	267	474
51	752	269	483
52	763	264	499
53	739	259	480
54	733	267	466
55	743	267	476
56	712	281	431
57	720	278	442
58	758	272	486
59	766	275	491
60	776	269	507
61	744	266	478
62	720	265	455
63	745	275	470
64	776	273	503
65	783	270	513
66	806	270	536
67	771	277	494
68	757	273	484
69	768	280	488
70	749	289	460
71	771	278	493
72	796	280	516
73	774	281	493
74	791	271	520
75	779	268	511
76	774	268	506
77	783	271	512
78	787	274	513
79	768	279	489
80	781	280	501
81	819	274	545
82	788	270	518
83	778	277	501
84	800	273	527
85	797	277	520
86	814	287	527
87	790	283	507
88	791	275	516
89	816	274	542
90	821	268	553
91	806	272	534
92	821	273	548
93	829	261	568
94	833	274	559
95	829	277	552
96	818	274	544
97	843	277	566
98	876	272	604
99	841	271	570
100	841	278	563
101	846	281	565
102	862	272	590
103	850	275	575
104	887	276	611
105	875	277	598
106	871	286	585
107	892	279	613
108	897	272	625
109	891	284	607
110	853	274	579
111	852	276	576
112	882	287	595
113	905	274	631
114	895	272	623
115	894	280	614
116	898	277	621
117	893	276	617
118	919	293	626
119	936	288	648
120	926	269	657
121	900	272	628
122	936	274	662
123	944	287	657
124	960	294	666
125	972	281	691
126	973	281	692
127	940	290	650
128	958	281	677
129	968	279	689
130	969	275	694
131	942	277	665
132	958	279	679
133	967	276	691
134	967	282	685
135	979	279	700
136	986	287	699
137	969	283	686
138	966	278	688
139	980	278	702
140	979	278	701
141	966	280	686
142	951	276	675
143	962	291	671
144	965	288	677
145	952	279	673
146	973	274	699
147	994	277	717
148	1022	276	746
149	1000	282	718
150	1031	278	753
151	1053	278	775
152	1058	279	779
153	1031	287	744
154	1018	278	740
155	1031	271	760
156	1040	269	771
157	1056	274	782
158	1059	279	780
159	1071	280	791
160	1074	284	790
161	1053	277	776
162	1058	279	779
163	1072	279	793
164	1057	276	781
165	1058	279	779
166	1065	283	782
167	1079	286	793
168	1097	287	810
169	1043	292	751
170	1061	283	778
171	1085	288	797
172	1084	275	809
173	1088	269	819
174	1075	277	798
175	1091	288	803
176	1119	281	838
177	1102	282	820
178	1098	285	813
179	1107	281	826
180	1137	280	857
181	1141	280	861
182	1141	279	862
183	1150	285	865
184	1158	285	873
185	1147	279	868
186	1151	282	869
187	1130	286	844
188	1145	280	865
189	1164	283	881
190	1143	279	864
191	1123	281	842
192	1140	280	860
193	1180	279	901
194	1146	284	862
195	1121	283	838
196	1163	284	879
197	1191	277	914
198	1144	281	863
199	1187	283	904
200	1204	287	917
201	1179	288	891
202	1201	276	925
203	1214	282	932
204	1223	289	934
205	1199	286	913
206	1186	281	905
207	1219	282	937
208	1219	279	940
209	1208	279	929
210	1210	281	929
211	1237	283	954
212	1243	278	965
213	1221	276	945
214	1241	274	967
215	1223	268	955
216	1246	275	971
217	1212	284	928
218	1184	267	917
219	1239	290	949
220	1273	274	999
221	1270	272	998
222	1279	276	1003
223	1268	281	987
224	1280	285	995
225	1263	280	983
226	1269	280	989
227	1252	284	968
228	1242	281	961
229	1262	274	988
230	1275	285	990
231	1254	275	979
232	1277	274	1003
233	1280	285	995
234	1297	286	1011
235	1288	286	1002
236	1266	278	988
237	1296	277	1019
238	1315	270	1045
239	1317	275	1042
240	1365	276	1089
241	1360	280	1080
242	1367	287	1080
243	1369	288	1081
244	1355	280	1075
245	1343	273	1070
246	1318	276	1042
247	1332	287	1045
248	1347	283	1064
