index	original	background	difference
-----------------------------------------------------
1	714	249	465
2	726	238	488
3	753	236	517
4	747	240	507
5	744	244	500
6	733	252	481
7	747	249	498
8	752	247	505
9	757	254	503
10	745	256	489
11	743	257	486
12	746	245	501
13	757	250	507
14	765	252	513
15	799	255	544
16	810	261	549
17	809	261	548
18	801	258	543
19	779	253	526
20	810	260	550
21	800	253	547
22	792	250	542
23	808	259	549
24	801	261	540
25	808	257	551
26	792	261	531
27	793	266	527
28	798	254	544
29	829	264	565
30	820	265	555
31	824	257	567
32	820	255	565
33	822	267	555
34	824	261	563
35	813	264	549
36	812	271	541
37	837	272	565
38	838	272	566
39	825	263	562
40	815	266	549
41	821	264	557
42	845	270	575
43	841	269	572
44	811	265	546
45	790	269	521
46	822	274	548
47	825	273	552
48	819	267	552
49	833	267	566
50	848	267	581
51	848	269	579
52	850	264	586
53	847	259	588
54	848	267	581
55	850	267	583
56	879	281	598
57	891	278	613
58	868	272	596
59	863	275	588
60	866	269	597
61	858	266	592
62	851	265	586
63	886	275	611
64	889	273	616
65	872	270	602
66	855	270	585
67	867	277	590
68	896	273	623
69	918	280	638
70	892	289	603
71	885	278	607
72	888	280	608
73	878	281	597
74	863	271	592
75	886	268	618
76	879	268	611
77	896	271	625
78	905	274	631
79	937	279	658
80	929	280	649
81	911	274	637
82	903	270	633
83	913	277	636
84	908	273	635
85	926	277	649
86	944	287	657
87	940	283	657
88	914	275	639
89	937	274	663
90	937	268	669
91	957	272	685
92	962	273	689
93	932	261	671
94	941	274	667
95	946	277	669
96	954	274	680
97	962	277	685
98	984	272	712
99	977	271	706
100	982	278	704
101	1009	281	728
102	992	272	720
103	997	275	722
104	985	276	709
105	1004	277	727
106	993	286	707
107	1015	279	736
108	1026	272	754
109	1035	284	751
110	1012	274	738
111	1049	276	773
112	1024	287	737
113	1036	274	762
114	1057	272	785
115	1060	280	780
116	1058	277	781
117	1062	276	786
118	1057	293	764
119	1057	288	769
120	1078	269	809
121	1105	272	833
122	1110	274	836
123	1101	287	814
124	1110	294	816
125	1108	281	827
126	1102	281	821
127	1116	290	826
128	1128	281	847
129	1130	279	851
130	1159	275	884
131	1155	277	878
132	1160	279	881
133	1148	276	872
134	1169	282	887
135	1150	279	871
136	1153	287	866
137	1165	283	882
138	1168	278	890
139	1160	278	882
140	1142	278	864
141	1163	280	883
142	1165	276	889
143	1180	291	889
144	1187	288	899
145	1180	279	901
146	1146	274	872
147	1174	277	897
148	1194	276	918
149	1202	282	920
150	1199	278	921
151	1216	278	938
152	1194	279	915
153	1222	287	935
154	1220	278	942
155	1220	271	949
156	1272	269	1003
157	1286	274	1012
158	1269	279	990
159	1270	280	990
160	1289	284	1005
161	1276	277	999
162	1256	279	977
163	1282	279	1003
164	1299	276	1023
165	1287	279	1008
166	1269	283	986
167	1288	286	1002
168	1307	287	1020
169	1330	292	1038
170	1316	283	1033
171	1326	288	1038
172	1323	275	1048
173	1310	269	1041
174	1319	277	1042
175	1342	288	1054
176	1327	281	1046
177	1369	282	1087
178	1379	285	1094
179	1359	281	1078
180	1376	280	1096
181	1393	280	1113
182	1398	279	1119
183	1360	285	1075
184	1333	285	1048
185	1328	279	1049
186	1372	282	1090
187	1368	286	1082
188	1415	280	1135
189	1417	283	1134
190	1392	279	1113
191	1377	281	1096
192	1380	280	1100
193	1403	279	1124
194	1380	284	1096
195	1381	283	1098
196	1414	284	1130
197	1423	277	1146
198	1408	281	1127
199	1424	283	1141
200	1414	287	1127
201	1410	288	1122
202	1438	276	1162
203	1430	282	1148
204	1434	289	1145
205	1437	286	1151
206	1428	281	1147
207	1477	282	1195
208	1471	279	1192
209	1454	279	1175
210	1469	281	1188
211	1445	283	1162
212	1467	278	1189
213	1468	276	1192
214	1472	274	1198
215	1442	268	1174
216	1431	275	1156
217	1470	284	1186
218	1494	267	1227
219	1507	290	1217
220	1494	274	1220
221	1488	272	1216
222	1460	276	1184
223	1470	281	1189
224	1485	285	1200
225	1480	280	1200
226	1489	280	1209
227	1483	284	1199
228	1473	281	1192
229	1493	274	1219
230	1471	285	1186
231	1514	275	1239
232	1552	274	1278
233	1524	285	1239
234	1503	286	1217
235	1506	286	1220
236	1535	278	1257
237	1546	277	1269
238	1510	270	1240
239	1493	275	1218
240	1525	276	1249
241	1539	280	1259
242	1507	287	1220
243	1526	288	1238
244	1519	280	1239
245	1530	273	1257
246	1534	276	1258
247	1572	287	1285
248	1566	283	1283
249	1514	280	1234
250	1538	281	1257
251	1612	279	1333
252	1630	276	1354
253	1572	283	1289
254	1557	280	1277
255	1556	278	1278
256	1563	279	1284
257	1583	280	1303
258	1576	282	1294
259	1553	276	1277
260	1557	276	1281
261	1588	279	1309
262	1591	275	1316
263	1586	279	1307
264	1579	276	1303
265	1598	269	1329
266	1616	274	1342
267	1619	280	1339
268	1635	277	1358
269	1594	272	1322
270	1612	272	1340
271	1621	272	1349
272	1612	275	1337
273	1626	279	1347
274	1609	282	1327
275	1639	282	1357
276	1651	283	1368
277	1621	287	1334
278	1617	273	1344
279	1629	276	1353
280	1678	273	1405
281	1667	278	1389
282	1665	280	1385
283	1648	282	1366
284	1658	282	1376
285	1653	288	1365
286	1646	282	1364
287	1685	292	1393
288	1657	293	1364
289	1662	286	1376
290	1701	280	1421
291	1715	274	1441
292	1687	273	1414
293	1700	277	1423
294	1696	276	1420
295	1731	280	1451
296	1760	279	1481
297	1755	277	1478
298	1746	279	1467
299	1742	279	1463
300	1772	280	1492
301	1770	285	1485
302	1754	273	1481
303	1758	274	1484
304	1748	275	1473
305	1761	283	1478
306	1772	285	1487
307	1785	290	1495
308	1792	297	1495
309	1800	280	1520
310	1766	279	1487
311	1768	279	1489
312	1784	282	1502
313	1813	272	1541
314	1791	269	1522
315	1793	276	1517
316	1818	283	1535
