index	original	background	difference
-----------------------------------------------------
1	359	346	13
2	352	356	-4
3	361	362	-1
4	373	357	16
5	385	352	33
6	370	352	18
7	368	359	9
8	359	364	-5
9	370	360	10
10	355	370	-15
11	358	363	-5
12	359	359	0
13	375	365	10
14	347	359	-12
15	362	350	12
16	347	346	1
17	371	360	11
18	375	357	18
19	365	350	15
20	359	359	0
21	373	363	10
22	382	360	22
23	409	362	47
24	418	361	57
25	385	355	30
26	344	368	-24
27	381	371	10
28	393	360	33
29	362	365	-3
30	353	371	-18
31	370	369	1
32	370	361	9
33	367	369	-2
34	364	379	-15
35	389	366	23
36	380	363	17
37	358	359	-1
38	355	362	-7
39	368	359	9
40	369	359	10
41	355	366	-11
42	365	363	2
43	403	370	33
44	365	367	-2
45	367	353	14
46	392	358	34
47	393	367	26
48	364	364	0
49	387	375	12
50	386	379	7
51	377	377	0
52	364	372	-8
53	381	367	14
54	375	380	-5
55	393	375	18
56	384	372	12
57	392	374	18
58	380	376	4
59	382	370	12
60	379	373	6
61	383	374	9
62	392	370	22
63	361	376	-15
64	352	368	-16
65	384	373	11
66	387	379	8
67	382	371	11
68	387	368	19
69	396	363	33
70	383	361	22
71	394	368	26
72	384	377	7
73	384	378	6
74	395	381	14
75	398	374	24
76	392	364	28
77	400	355	45
78	383	367	16
79	399	371	28
80	391	368	23
81	393	373	20
82	377	381	-4
83	368	368	0
84	367	373	-6
85	378	378	0
86	402	370	32
87	401	371	30
88	375	363	12
89	395	364	31
90	396	374	22
91	387	381	6
92	391	379	12
93	396	372	24
94	361	369	-8
95	369	373	-4
96	382	367	15
97	357	361	-4
98	349	370	-21
99	375	372	3
100	376	377	-1
101	377	379	-2
102	366	376	-10
103	359	370	-11
104	367	369	-2
105	374	378	-4
106	379	377	2
107	397	373	24
108	405	371	34
109	410	371	39
110	411	373	38
111	394	370	24
112	397	364	33
113	383	377	6
114	385	375	10
115	400	374	26
116	379	376	3
117	372	372	0
118	388	378	10
119	405	378	27
120	390	369	21
121	385	365	20
122	381	366	15
123	394	378	16
124	381	391	-10
125	378	375	3
126	372	368	4
127	370	367	3
128	373	374	-1
129	372	381	-9
130	368	376	-8
131	387	376	11
132	395	369	26
133	391	369	22
134	369	368	1
135	369	375	-6
136	393	383	10
137	406	378	28
138	379	377	2
139	376	368	8
140	387	378	9
141	410	386	24
142	399	385	14
143	362	369	-7
144	375	369	6
145	394	378	16
146	390	367	23
147	382	365	17
148	371	376	-5
149	380	371	9
150	387	381	6
151	389	394	-5
152	385	381	4
153	381	372	9
154	370	369	1
155	375	364	11
156	367	369	-2
157	393	368	25
158	371	364	7
159	392	374	18
160	400	374	26
161	393	370	23
162	391	370	21
163	386	378	8
164	377	373	4
165	379	373	6
166	396	382	14
167	383	379	4
168	370	376	-6
169	372	368	4
170	372	368	4
171	392	366	26
172	381	373	8
173	365	369	-4
174	393	372	21
175	403	370	33
176	395	371	24
177	384	363	21
178	380	369	11
179	378	368	10
180	384	379	5
181	381	373	8
182	372	373	-1
183	401	373	28
184	375	372	3
185	374	368	6
186	390	373	17
187	393	362	31
188	375	364	11
189	390	373	17
190	367	371	-4
191	367	373	-6
192	391	374	17
193	391	373	18
194	388	365	23
195	373	364	9
196	369	368	1
197	379	366	13
198	385	368	17
199	385	380	5
200	375	379	-4
201	378	374	4
202	378	380	-2
203	381	371	10
204	380	367	13
205	400	371	29
206	401	364	37
207	392	365	27
208	375	371	4
209	375	377	-2
210	369	372	-3
211	354	380	-26
212	355	377	-22
213	388	366	22
214	362	370	-8
215	374	375	-1
216	393	374	19
217	384	373	11
218	363	371	-8
219	344	361	-17
220	361	370	-9
221	378	365	13
222	371	366	5
223	349	368	-19
224	344	371	-27
225	389	374	15
226	391	365	26
227	369	368	1
228	373	361	12
229	370	368	2
230	373	372	1
231	383	369	14
232	382	370	12
233	390	366	24
234	389	367	22
235	391	369	22
236	369	361	8
237	375	363	12
238	401	370	31
239	389	364	25
240	364	357	7
241	352	363	-11
242	369	362	7
243	393	364	29
244	384	367	17
245	384	374	10
246	371	378	-7
247	382	373	9
248	372	367	5
249	341	360	-19
250	380	370	10
251	395	364	31
252	355	367	-12
253	359	363	-4
254	370	366	4
255	366	369	-3
256	365	372	-7
257	374	381	-7
258	349	371	-22
259	364	359	5
260	375	361	14
261	405	368	37
262	406	361	45
263	387	368	19
264	376	371	5
265	387	369	18
266	375	372	3
267	402	373	29
268	386	367	19
269	369	365	4
270	383	363	20
271	385	367	18
272	349	370	-21
273	367	364	3
274	378	365	13
275	378	371	7
276	372	374	-2
277	383	368	15
278	375	366	9
279	381	365	16
280	370	367	3
281	373	365	8
282	364	360	4
283	369	352	17
