index	original	background	difference
-----------------------------------------------------
1	312	237	75
2	308	244	64
3	291	241	50
4	303	236	67
5	298	239	59
6	299	238	61
7	295	251	44
8	277	249	28
9	296	246	50
10	310	256	54
11	304	260	44
12	327	245	82
13	312	245	67
14	298	247	51
15	301	248	53
16	323	239	84
17	321	236	85
18	319	237	82
19	309	246	63
20	305	245	60
21	315	249	66
22	326	252	74
23	316	249	67
24	312	247	65
25	315	256	59
26	323	251	72
27	297	256	41
28	314	254	60
29	324	251	73
30	327	247	80
31	315	251	64
32	320	249	71
33	319	260	59
34	320	259	61
35	314	261	53
36	320	255	65
37	315	255	60
38	317	249	68
39	322	254	68
40	327	254	73
41	312	261	51
42	322	265	57
43	321	264	57
44	325	254	71
45	323	255	68
46	321	262	59
47	340	260	80
48	333	259	74
49	321	268	53
50	337	256	81
51	345	259	86
52	331	259	72
53	336	257	79
54	337	255	82
55	330	260	70
56	338	251	87
57	342	256	86
58	334	271	63
59	323	267	56
60	320	261	59
61	324	273	51
62	315	265	50
63	340	270	70
64	357	265	92
65	354	264	90
66	329	266	63
67	325	273	52
68	322	258	64
69	336	262	74
70	350	262	88
71	351	260	91
72	330	260	70
73	349	261	88
74	380	260	120
75	342	265	77
76	330	251	79
77	328	263	65
78	338	264	74
79	341	266	75
80	347	265	82
81	349	264	85
82	336	258	78
83	331	266	65
84	327	271	56
85	326	266	60
86	339	253	86
87	356	259	97
88	344	257	87
89	328	267	61
90	312	270	42
91	310	275	35
92	353	260	93
93	348	258	90
94	322	264	58
95	328	279	49
96	334	272	62
97	316	270	46
98	351	272	79
99	347	274	73
100	348	266	82
101	350	270	80
102	349	258	91
103	351	260	91
104	349	264	85
105	335	263	72
106	359	266	93
107	351	266	85
108	357	273	84
109	337	279	58
110	313	263	50
111	319	260	59
112	344	267	77
113	341	275	66
114	342	270	72
115	350	265	85
116	343	269	74
117	327	271	56
118	327	264	63
119	338	269	69
120	337	282	55
121	334	278	56
122	330	262	68
123	335	271	64
124	344	261	83
125	332	272	60
126	334	260	74
127	339	259	80
128	349	264	85
129	345	272	73
130	338	272	66
131	339	272	67
132	360	263	97
133	343	270	73
134	338	271	67
135	332	270	62
136	311	271	40
137	311	277	34
138	338	273	65
139	332	270	62
140	332	269	63
141	337	270	67
142	335	266	69
143	326	283	43
144	338	282	56
145	333	279	54
146	347	277	70
147	329	274	55
148	340	262	78
149	330	259	71
150	327	268	59
151	332	280	52
152	333	277	56
153	342	272	70
154	342	272	70
155	311	288	23
156	313	270	43
157	324	263	61
158	343	269	74
159	350	272	78
160	332	267	65
161	323	276	47
162	312	274	38
163	327	269	58
164	333	261	72
165	321	266	55
166	331	264	67
167	336	268	68
168	323	265	58
169	302	275	27
170	317	270	47
171	329	268	61
172	313	264	49
173	315	275	40
174	333	271	62
175	326	271	55
176	335	268	67
177	335	271	64
178	319	262	57
179	324	278	46
180	335	276	59
181	342	280	62
182	328	272	56
183	335	270	65
184	331	270	61
185	318	278	40
186	304	275	29
187	313	274	39
188	329	272	57
189	342	273	69
190	328	272	56
191	317	267	50
192	310	260	50
193	319	263	56
194	321	267	54
195	329	280	49
196	337	260	77
197	330	265	65
198	321	276	45
199	312	280	32
200	340	273	67
201	321	271	50
202	324	257	67
203	329	269	60
204	330	265	65
205	319	267	52
206	325	265	60
207	331	269	62
208	321	269	52
209	322	269	53
210	336	274	62
211	331	282	49
212	348	268	80
213	325	275	50
214	323	270	53
215	324	275	49
216	318	273	45
217	340	271	69
218	326	271	55
219	314	269	45
220	333	273	60
221	333	283	50
222	340	276	64
223	363	280	83
224	357	281	76
225	332	281	51
226	326	272	54
227	314	274	40
228	323	265	58
229	351	276	75
230	327	269	58
231	314	272	42
232	328	275	53
233	323	275	48
234	343	273	70
235	345	268	77
236	328	267	61
237	324	274	50
238	340	269	71
239	336	273	63
240	319	272	47
241	304	280	24
242	338	283	55
243	356	271	85
244	348	267	81
245	325	271	54
246	326	265	61
247	335	266	69
248	336	264	72
249	319	276	43
250	324	267	57
251	340	270	70
252	352	267	85
253	327	269	58
254	325	260	65
255	339	270	69
256	340	267	73
257	333	274	59
258	327	276	51
259	336	277	59
260	336	265	71
261	332	263	69
262	328	262	66
263	316	269	47
264	343	265	78
265	359	279	80
266	355	266	89
267	354	274	80
268	334	277	57
269	316	277	39
270	345	273	72
271	357	275	82
272	334	271	63
273	340	272	68
274	366	267	99
275	368	269	99
276	358	273	85
277	333	280	53
278	339	279	60
279	346	277	69
280	329	269	60
281	326	274	52
282	331	269	62
283	318	269	49
284	313	264	49
285	331	264	67
286	340	260	80
287	329	270	59
288	317	262	55
289	322	264	58
290	346	272	74
291	330	281	49
292	323	273	50
293	320	270	50
294	339	261	78
295	357	263	94
296	353	264	89
297	342	270	72
298	335	278	57
299	323	286	37
300	329	270	59
301	313	271	42
302	323	273	50
303	333	271	62
304	340	261	79
305	336	260	76
306	339	265	74
307	326	279	47
308	329	264	65
309	334	259	75
310	328	271	57
311	338	268	70
312	339	262	77
313	345	273	72
314	330	268	62
315	329	269	60
316	330	262	68
317	324	271	53
318	326	268	58
319	342	269	73
320	356	264	92
321	335	271	64
322	343	259	84
323	313	264	49
324	322	260	62
325	330	259	71
326	340	262	78
327	342	277	65
328	356	278	78
329	339	278	61
330	334	280	54
331	331	279	52
332	352	271	81
333	337	282	55
334	329	280	49
335	323	277	46
336	323	274	49
337	312	276	36
338	323	264	59
339	325	268	57
340	315	275	40
341	322	269	53
342	332	271	61
343	334	283	51
344	319	267	52
345	327	270	57
346	343	272	71
347	340	272	68
348	322	272	50
349	334	278	56
350	319	275	44
351	308	275	33
352	320	274	46
353	327	269	58
354	317	264	53
355	319	275	44
356	305	278	27
357	319	278	41
358	353	277	76
359	329	282	47
360	326	277	49
361	336	288	48
362	344	275	69
363	326	269	57
364	337	266	71
365	334	271	63
366	316	276	40
367	322	273	49
368	332	266	66
369	336	284	52
370	342	281	61
371	345	278	67
372	343	270	73
373	334	278	56
374	334	284	50
375	301	279	22
376	320	274	46
377	320	274	46
378	324	272	52
379	311	276	35
380	335	275	60
381	347	279	68
382	352	273	79
383	345	271	74
384	328	272	56
385	321	276	45
386	338	267	71
387	327	275	52
388	328	275	53
389	330	275	55
390	329	268	61
391	339	271	68
392	336	272	64
393	310	267	43
394	309	274	35
395	319	272	47
396	336	277	59
397	324	281	43
398	315	276	39
399	326	280	46
400	338	278	60
401	334	274	60
402	365	268	97
403	365	274	91
404	343	279	64
405	339	283	56
406	340	269	71
407	328	270	58
408	330	264	66
409	341	267	74
410	340	257	83
411	313	269	44
412	351	274	77
413	364	273	91
414	348	267	81
415	348	282	66
416	323	281	42
417	341	275	66
418	345	270	75
419	342	266	76
420	353	263	90
421	359	264	95
422	354	263	91
423	346	264	82
424	336	259	77
425	322	269	53
426	340	275	65
427	333	272	61
428	322	271	51
429	333	274	59
430	324	270	54
431	322	273	49
432	330	267	63
433	335	268	67
434	349	262	87
435	327	271	56
436	319	272	47
437	327	266	61
438	334	264	70
439	360	270	90
440	343	267	76
441	344	274	70
442	363	267	96
443	341	261	80
444	324	272	52
445	317	279	38
446	326	271	55
447	330	271	59
448	353	273	80
449	360	277	83
450	330	273	57
451	329	269	60
452	349	271	78
453	341	269	72
454	338	265	73
455	328	267	61
456	330	274	56
457	320	277	43
458	316	266	50
459	339	264	75
460	345	262	83
461	330	279	51
462	339	283	56
463	334	275	59
464	321	261	60
465	341	268	73
466	345	261	84
467	321	266	55
468	350	268	82
469	313	279	34
470	305	273	32
471	333	276	57
472	342	270	72
473	346	258	88
474	346	264	82
475	326	271	55
476	314	264	50
477	302	261	41
478	330	264	66
479	341	271	70
480	348	271	77
481	329	275	54
482	311	263	48
483	330	255	75
484	354	261	93
485	361	274	87
486	368	268	100
487	343	271	72
488	338	268	70
489	344	263	81
490	335	253	82
