index	original	background	difference
398	448	349	99
399	443	353	90
400	435	357	78
401	443	356	87
402	443	358	85
403	454	351	103
404	440	354	86
405	439	346	93
406	443	348	95
407	442	351	91
408	438	362	76
409	430	368	62
410	440	362	78
411	444	360	84
412	433	364	69
413	446	366	80
414	450	359	91
415	451	357	94
416	440	370	70
417	445	364	81
418	443	365	78
419	443	367	76
420	449	367	82
421	439	359	80
422	437	363	74
423	441	358	83
424	434	368	66
425	437	362	75
426	442	354	88
427	434	349	85
428	436	356	80
429	449	359	90
430	452	357	95
431	455	354	101
432	450	351	99
433	441	359	82
434	439	357	82
435	444	352	92
436	437	356	81
437	443	358	85
438	438	355	83
439	435	349	86
440	440	351	89
441	442	357	85
442	446	358	88
443	450	358	92
444	451	363	88
445	452	363	89
446	446	355	91
447	439	346	93
448	435	345	90
449	440	350	90
450	450	346	104
451	440	359	81
452	429	361	68
453	428	357	71
454	423	358	65
455	432	351	81
456	438	352	86
457	437	359	78
458	438	360	78
459	436	353	83
460	440	355	85
461	442	357	85
462	435	364	71
463	433	357	76
464	450	349	101
465	458	360	98
466	444	362	82
467	430	355	75
468	437	352	85
469	445	358	87
470	441	361	80
471	447	354	93
472	442	349	93
473	437	347	90
474	440	360	80
475	443	365	78
476	439	369	70
477	437	363	74
478	432	356	76
479	438	357	81
480	443	341	102
481	450	352	98
482	458	356	102
483	447	358	89
484	443	353	90
485	453	353	100
486	448	357	91
487	447	366	81
488	440	349	91
489	435	351	84
490	438	352	86
491	448	347	101
492	446	347	99
493	450	351	99
494	442	348	94
495	444	345	99
496	440	353	87
497	436	355	81
498	442	359	83
499	447	352	95
500	439	356	83
501	441	349	92
502	440	349	91
503	436	345	91
504	443	348	95
505	441	352	89
506	440	346	94
507	451	340	111
508	446	341	105
509	443	346	97
510	441	355	86
511	439	350	89
512	440	340	100
513	446	342	104
514	443	350	93
515	437	353	84
516	441	354	87
517	449	353	96
518	442	351	91
519	441	352	89
520	446	341	105
521	443	340	103
522	450	348	102
