index	original	background	difference
381	278	279	-1
382	264	273	-9
383	265	271	-6
384	282	272	10
385	281	276	5
386	280	267	13
387	281	275	6
388	270	275	-5
389	280	275	5
390	285	268	17
391	278	271	7
392	264	272	-8
393	266	267	-1
394	274	274	0
395	309	272	37
396	290	277	13
397	267	281	-14
398	268	276	-8
399	256	280	-24
400	276	278	-2
401	282	274	8
402	285	268	17
403	279	274	5
404	278	279	-1
405	271	283	-12
406	273	269	4
407	275	270	5
408	277	264	13
409	279	267	12
410	294	257	37
411	291	269	22
412	272	274	-2
413	263	273	-10
414	279	267	12
415	279	282	-3
416	279	281	-2
417	282	275	7
418	286	270	16
419	282	266	16
420	292	263	29
421	297	264	33
422	300	263	37
423	272	264	8
424	270	259	11
425	292	269	23
426	295	275	20
427	274	272	2
428	267	271	-4
429	255	274	-19
430	267	270	-3
431	271	273	-2
432	253	267	-14
433	242	268	-26
434	270	262	8
435	286	271	15
436	282	272	10
437	265	266	-1
438	259	264	-5
439	266	270	-4
440	280	267	13
441	273	274	-1
442	274	267	7
443	306	261	45
444	307	272	35
445	280	279	1
446	279	271	8
447	285	271	14
448	257	273	-16
449	255	277	-22
450	260	273	-13
451	263	269	-6
452	290	271	19
453	271	269	2
454	267	265	2
455	288	267	21
456	270	274	-4
457	277	277	0
458	293	266	27
459	292	264	28
460	275	262	13
461	250	279	-29
462	271	283	-12
463	275	275	0
464	274	261	13
465	283	268	15
466	272	261	11
467	280	266	14
468	308	268	40
469	301	279	22
470	290	273	17
471	291	276	15
472	295	270	25
473	294	258	36
474	287	264	23
475	284	271	13
476	294	264	30
477	295	261	34
478	299	264	35
479	278	271	7
480	268	271	-3
481	276	275	1
482	282	263	19
483	268	255	13
484	285	261	24
485	291	274	17
486	280	268	12
487	284	271	13
488	276	268	8
489	278	263	15
490	278	253	25
491	275	269	6
492	293	275	18
493	288	268	20
494	265	262	3
495	270	265	5
496	275	266	9
497	262	273	-11
498	268	267	1
499	276	267	9
500	282	269	13
501	284	265	19
502	295	261	34
503	280	265	15
504	277	270	7
505	280	277	3
506	264	276	-12
507	273	272	1
508	290	262	28
509	252	265	-13
510	256	276	-20
511	258	275	-17
512	265	269	-4
513	292	278	14
514	282	277	5
515	257	265	-8
516	279	265	14
517	282	270	12
518	286	268	18
519	278	279	-1
520	294	272	22
521	290	273	17
522	272	269	3
523	281	270	11
524	282	270	12
525	256	274	-18
526	253	262	-9
527	277	259	18
528	287	265	22
529	281	267	14
530	293	265	28
531	291	270	21
532	306	268	38
533	298	282	16
534	287	276	11
535	272	279	-7
536	281	273	8
537	277	264	13
538	271	258	13
539	270	269	1
540	274	274	0
541	271	276	-5
542	269	273	-4
543	261	281	-20
544	272	279	-7
545	278	273	5
546	279	272	7
547	263	281	-18
548	286	275	11
549	280	275	5
550	287	268	19
551	275	275	0
552	281	270	11
553	292	271	21
554	294	271	23
555	293	276	17
556	280	265	15
557	280	273	7
558	278	269	9
559	262	268	-6
560	261	270	-9
561	263	277	-14
562	284	269	15
563	282	272	10
564	285	278	7
565	277	277	0
566	288	266	22
567	288	279	9
568	288	276	12
569	280	264	16
570	264	265	-1
571	260	272	-12
572	283	272	11
573	290	284	6
574	293	276	17
575	278	274	4
576	284	275	9
577	269	270	-1
578	269	264	5
579	261	271	-10
580	263	270	-7
581	283	274	9
582	299	267	32
583	306	267	39
584	283	270	13
585	259	282	-23
586	257	281	-24
587	275	279	-4
588	277	275	2
589	272	275	-3
590	284	269	15
591	300	270	30
592	289	259	30
593	288	260	28
594	280	270	10
595	262	279	-17
596	272	275	-3
597	273	279	-6
598	289	270	19
599	279	277	2
600	267	273	-6
601	282	272	10
602	277	265	12
603	269	263	6
604	292	260	32
605	306	272	34
606	291	269	22
607	277	268	9
