index	original	background	difference
-----------------------------------------------------
1	347	346	1
2	337	356	-19
3	346	362	-16
4	353	357	-4
5	360	352	8
6	352	352	0
7	354	359	-5
8	351	364	-13
9	355	360	-5
10	350	370	-20
11	352	363	-11
12	352	359	-7
13	365	365	0
14	354	359	-5
15	356	350	6
16	362	346	16
17	362	360	2
18	359	357	2
19	361	350	11
20	361	359	2
21	365	363	2
22	353	360	-7
23	369	362	7
24	368	361	7
25	380	355	25
26	375	368	7
27	371	371	0
28	367	360	7
29	369	365	4
30	377	371	6
31	370	369	1
32	363	361	2
33	365	369	-4
34	361	379	-18
35	370	366	4
36	362	363	-1
37	376	359	17
38	364	362	2
39	367	359	8
40	367	359	8
41	369	366	3
42	367	363	4
43	377	370	7
44	374	367	7
45	370	353	17
46	371	358	13
47	379	367	12
48	384	364	20
49	385	375	10
50	365	379	-14
51	371	377	-6
52	382	372	10
53	384	367	17
54	381	380	1
55	390	375	15
56	379	372	7
57	374	374	0
58	377	376	1
59	384	370	14
60	372	373	-1
61	372	374	-2
62	375	370	5
63	385	376	9
64	382	368	14
65	383	373	10
66	373	379	-6
67	369	371	-2
68	379	368	11
69	384	363	21
70	378	361	17
71	375	368	7
72	376	377	-1
73	386	378	8
74	380	381	-1
75	370	374	-4
76	360	364	-4
77	371	355	16
78	376	367	9
79	384	371	13
80	376	368	8
81	381	373	8
82	387	381	6
83	383	368	15
84	373	373	0
85	387	378	9
86	383	370	13
87	378	371	7
88	376	363	13
89	375	364	11
90	382	374	8
91	383	381	2
92	375	379	-4
93	375	372	3
94	387	369	18
95	396	373	23
96	389	367	22
97	381	361	20
98	382	370	12
99	380	372	8
100	379	377	2
101	373	379	-6
102	383	376	7
103	392	370	22
104	385	369	16
105	386	378	8
106	382	377	5
107	382	373	9
108	384	371	13
109	381	371	10
110	380	373	7
111	375	370	5
112	380	364	16
113	386	377	9
114	380	375	5
115	385	374	11
116	385	376	9
117	386	372	14
118	372	378	-6
119	377	378	-1
120	387	369	18
121	386	365	21
122	370	366	4
123	375	378	-3
124	372	391	-19
125	387	375	12
126	373	368	5
127	377	367	10
128	373	374	-1
129	373	381	-8
130	378	376	2
131	381	376	5
132	379	369	10
133	377	369	8
134	375	368	7
135	386	375	11
136	383	383	0
137	378	378	0
138	382	377	5
139	394	368	26
140	378	378	0
141	384	386	-2
142	384	385	-1
143	375	369	6
144	372	369	3
145	379	378	1
146	375	367	8
147	390	365	25
148	393	376	17
149	382	371	11
150	377	381	-4
151	378	394	-16
152	370	381	-11
153	377	372	5
154	373	369	4
155	373	364	9
156	374	369	5
157	376	368	8
158	378	364	14
159	378	374	4
160	375	374	1
161	378	370	8
162	370	370	0
163	370	378	-8
164	359	373	-14
165	371	373	-2
166	372	382	-10
167	379	379	0
168	375	376	-1
169	372	368	4
170	374	368	6
171	386	366	20
172	378	373	5
173	376	369	7
174	374	372	2
175	373	370	3
176	363	371	-8
177	372	363	9
178	373	369	4
179	379	368	11
180	387	379	8
181	379	373	6
182	371	373	-2
183	376	373	3
184	367	372	-5
185	365	368	-3
186	368	373	-5
187	378	362	16
188	372	364	8
189	372	373	-1
190	377	371	6
191	385	373	12
192	370	374	-4
193	364	373	-9
194	368	365	3
195	382	364	18
196	385	368	17
197	374	366	8
198	369	368	1
199	375	380	-5
200	377	379	-2
201	385	374	11
202	383	380	3
203	371	371	0
204	374	367	7
205	388	371	17
206	389	364	25
207	384	365	19
208	374	371	3
209	382	377	5
210	385	372	13
211	380	380	0
212	365	377	-12
213	372	366	6
214	367	370	-3
215	374	375	-1
216	371	374	-3
217	372	373	-1
218	371	371	0
219	375	361	14
220	369	370	-1
221	372	365	7
222	375	366	9
223	371	368	3
224	369	371	-2
225	375	374	1
226	377	365	12
227	386	368	18
228	384	361	23
229	384	368	16
230	377	372	5
231	379	369	10
232	376	370	6
233	373	366	7
234	376	367	9
235	378	369	9
236	377	361	16
237	378	363	15
238	372	370	2
239	367	364	3
240	373	357	16
241	392	363	29
242	372	362	10
243	364	364	0
244	370	367	3
245	383	374	9
246	379	378	1
247	380	373	7
248	380	367	13
249	385	360	25
250	382	370	12
251	377	364	13
252	382	367	15
253	386	363	23
254	377	366	11
255	375	369	6
256	380	372	8
257	382	381	1
258	365	371	-6
259	377	359	18
260	376	361	15
261	382	368	14
262	377	361	16
263	372	368	4
264	376	371	5
265	375	369	6
266	365	372	-7
267	370	373	-3
268	374	367	7
269	386	365	21
270	376	363	13
271	378	367	11
272	379	370	9
273	377	364	13
274	369	365	4
275	375	371	4
276	376	374	2
277	385	368	17
278	373	366	7
279	379	365	14
280	369	367	2
281	365	365	0
282	369	360	9
283	374	352	22
284	382	361	21
285	378	357	21
286	371	352	19
287	373	360	13
288	380	368	12
289	378	375	3
290	366	365	1
291	371	351	20
292	376	364	12
293	378	365	13
294	374	357	17
295	371	361	10
296	367	361	6
297	377	368	9
298	373	370	3
299	365	359	6
300	363	359	4
301	377	350	27
302	370	358	12
303	367	354	13
304	370	352	18
305	364	360	4
306	373	365	8
307	378	364	14
308	377	353	24
309	377	351	26
310	368	351	17
311	374	356	18
312	380	361	19
313	380	352	28
314	377	352	25
315	386	353	33
316	381	358	23
317	373	360	13
318	379	362	17
319	379	365	14
320	371	364	7
321	376	368	8
322	378	371	7
323	377	369	8
324	382	365	17
325	375	363	12
326	372	360	12
327	380	354	26
328	375	365	10
329	381	366	15
330	373	362	11
331	377	353	24
332	376	353	23
333	382	358	24
334	386	361	25
335	378	353	25
336	379	359	20
337	378	367	11
338	375	362	13
339	372	356	16
340	371	351	20
341	372	354	18
342	379	362	17
343	374	355	19
344	369	368	1
345	380	366	14
346	381	360	21
347	378	362	16
348	375	353	22
349	376	354	22
350	367	368	-1
351	376	370	6
352	367	356	11
353	373	360	13
354	372	365	7
355	374	364	10
356	373	355	18
357	370	365	5
358	372	370	2
359	379	362	17
360	379	354	25
361	386	358	28
362	381	357	24
363	375	347	28
364	370	357	13
365	375	358	17
366	378	357	21
367	385	354	31
368	367	355	12
369	362	357	5
370	361	358	3
371	369	356	13
372	373	358	15
373	376	357	19
374	377	360	17
375	374	353	21
376	367	359	8
377	375	361	14
378	372	352	20
379	381	354	27
380	380	365	15
381	377	358	19
382	371	360	11
383	368	361	7
384	369	355	14
385	367	354	13
386	359	349	10
387	367	351	16
388	384	354	30
389	392	356	36
390	374	349	25
391	375	356	19
392	366	360	6
393	379	352	27
394	383	361	22
395	383	366	17
396	386	371	15
397	380	358	22
398	371	349	22
399	376	353	23
400	368	357	11
401	373	356	17
402	380	358	22
403	376	351	25
404	364	354	10
405	372	346	26
406	372	348	24
407	376	351	25
408	375	362	13
409	382	368	14
410	382	362	20
411	384	360	24
412	380	364	16
413	376	366	10
414	373	359	14
415	383	357	26
416	383	370	13
417	379	364	15
418	366	365	1
419	382	367	15
420	383	367	16
421	386	359	27
422	380	363	17
423	381	358	23
424	368	368	0
425	366	362	4
426	367	354	13
427	366	349	17
428	366	356	10
429	382	359	23
430	384	357	27
431	379	354	25
432	373	351	22
433	376	359	17
434	375	357	18
435	377	352	25
436	370	356	14
437	371	358	13
438	369	355	14
439	379	349	30
440	376	351	25
441	370	357	13
442	379	358	21
443	385	358	27
444	373	363	10
445	383	363	20
446	376	355	21
447	374	346	28
448	369	345	24
449	373	350	23
450	384	346	38
451	380	359	21
452	376	361	15
453	376	357	19
454	377	358	19
455	389	351	38
456	376	352	24
457	379	359	20
458	384	360	24
459	383	353	30
460	381	355	26
461	381	357	24
462	378	364	14
463	378	357	21
464	375	349	26
465	387	360	27
