index	original	background	difference
363	4175	263	3912
364	4229	259	3970
365	4387	256	4131
366	4421	259	4162
367	4434	257	4177
368	4454	259	4195
369	4483	264	4219
370	4517	251	4266
371	4682	253	4429
372	4707	258	4449
373	4799	264	4535
374	4776	252	4524
375	4775	259	4516
376	4823	265	4558
377	4833	263	4570
378	4833	249	4584
379	4962	246	4716
380	5033	255	4778
381	4959	258	4701
382	4930	260	4670
383	4993	265	4728
384	4985	259	4726
385	4914	262	4652
386	4927	255	4672
387	4918	253	4665
388	4910	251	4659
389	4889	259	4630
390	4860	257	4603
391	4859	257	4602
392	4844	258	4586
393	4841	262	4579
394	4799	263	4536
395	4770	269	4501
396	4743	264	4479
397	4658	257	4401
398	4655	254	4401
399	4706	270	4436
400	4637	258	4379
401	4560	244	4316
402	4597	256	4341
403	4637	267	4370
404	4604	258	4346
405	4582	253	4329
406	4543	255	4288
407	4569	263	4306
408	4566	259	4307
409	4571	263	4308
410	4563	265	4298
411	4591	261	4330
412	4618	258	4360
413	4642	266	4376
414	4671	258	4413
415	4647	265	4382
416	4744	264	4480
417	4757	259	4498
418	4781	259	4522
419	4876	262	4614
420	4978	263	4715
421	5024	258	4766
422	5006	253	4753
423	5013	262	4751
424	5066	257	4809
425	5108	258	4850
426	5210	262	4948
427	5223	260	4963
428	5254	260	4994
429	5355	255	5100
430	5343	254	5089
431	5326	260	5066
432	5416	251	5165
433	5512	257	5255
434	5481	265	5216
435	5497	266	5231
436	5570	262	5308
437	5605	266	5339
438	5567	264	5303
439	5503	259	5244
440	5536	261	5275
441	5583	262	5321
442	5629	257	5372
443	5661	255	5406
444	5608	261	5347
445	5510	257	5253
446	5542	250	5292
447	5487	259	5228
448	5475	263	5212
449	5335	261	5074
450	5258	259	4999
451	5324	255	5069
452	5304	256	5048
453	5243	258	4985
454	5160	258	4902
455	5157	263	4894
456	5173	261	4912
457	5109	257	4852
458	5009	255	4754
459	5043	258	4785
460	4984	259	4725
461	4928	257	4671
462	4894	261	4633
463	4871	257	4614
464	4917	247	4670
465	4999	258	4741
466	4981	256	4725
467	4846	268	4578
468	4971	261	4710
469	4988	260	4728
470	4995	258	4737
471	5029	268	4761
472	4980	263	4717
473	5030	261	4769
474	5089	254	4835
475	5117	260	4857
476	5165	261	4904
477	5172	264	4908
478	5138	262	4876
479	5255	258	4997
480	5380	264	5116
481	5401	264	5137
482	5360	263	5097
483	5413	265	5148
484	5475	264	5211
485	5541	275	5266
486	5611	263	5348
487	5697	254	5443
488	5760	263	5497
489	5788	264	5524
490	5901	255	5646
491	5915	258	5657
492	5960	254	5706
493	6106	258	5848
494	6089	262	5827
495	6031	264	5767
496	6064	265	5799
497	6058	265	5793
498	6136	261	5875
499	6175	263	5912
500	6161	262	5899
501	6141	259	5882
502	6131	260	5871
503	6169	269	5900
504	6097	256	5841
505	6066	262	5804
506	6030	265	5765
507	6003	268	5735
508	6119	266	5853
509	6090	271	5819
510	6001	264	5737
511	5958	266	5692
512	5935	256	5679
513	5885	259	5626
514	5828	263	5565
515	5803	256	5547
516	5734	254	5480
517	5706	259	5447
518	5666	251	5415
519	5585	262	5323
520	5477	268	5209
521	5526	264	5262
522	5496	264	5232
523	5343	267	5076
524	5393	264	5129
525	5346	256	5090
526	5308	248	5060
527	5252	251	5001
528	5171	255	4916
529	5189	256	4933
530	5181	254	4927
531	5202	264	4938
532	5161	268	4893
533	5137	271	4866
534	5271	262	5009
535	5238	263	4975
536	5184	267	4917
537	5218	257	4961
538	5239	245	4994
539	5298	256	5042
540	5345	259	5086
541	5402	260	5142
542	5440	254	5186
543	5466	265	5201
544	5569	264	5305
545	5690	262	5428
546	5759	267	5492
547	5876	265	5611
548	5936	256	5680
549	5913	263	5650
550	6044	268	5776
551	6164	266	5898
552	6183	263	5920
553	6222	260	5962
554	6263	256	6007
555	6397	262	6135
556	6410	259	6151
557	6418	267	6151
558	6473	264	6209
559	6564	265	6299
560	6641	265	6376
561	6692	260	6432
562	6759	262	6497
563	6753	268	6485
564	6742	258	6484
565	6842	258	6584
566	6852	259	6593
567	6868	252	6616
568	6932	250	6682
569	6959	262	6697
570	6877	266	6611
571	6804	260	6544
572	6765	270	6495
573	6825	267	6558
574	6822	258	6564
575	6839	259	6580
576	6815	265	6550
577	6749	264	6485
578	6784	262	6522
579	6802	263	6539
580	6714	254	6460
581	6690	258	6432
582	6673	259	6414
583	6734	252	6482
584	6646	251	6395
585	6581	259	6322
586	6611	254	6357
587	6439	262	6177
588	6428	274	6154
589	6504	272	6232
590	6429	261	6168
591	6353	256	6097
592	6345	261	6084
593	6256	263	5993
594	6209	257	5952
595	6201	259	5942
596	6169	262	5907
597	6082	271	5811
598	6040	266	5774
599	6007	257	5750
600	6021	261	5760
601	5994	266	5728
602	5942	269	5673
603	5952	272	5680
