index	original	background	difference
-----------------------------------------------------
1	302	237	65
2	310	244	66
3	303	241	62
4	331	236	95
5	304	239	65
6	290	238	52
7	287	251	36
8	295	249	46
9	325	246	79
10	303	256	47
11	287	260	27
12	301	245	56
13	319	245	74
14	315	247	68
15	314	248	66
16	354	239	115
17	328	236	92
18	311	237	74
19	302	246	56
20	316	245	71
21	327	249	78
22	327	252	75
23	314	249	65
24	331	247	84
25	341	256	85
26	347	251	96
27	327	256	71
28	301	254	47
29	306	251	55
30	333	247	86
31	319	251	68
32	310	249	61
33	317	260	57
34	339	259	80
35	343	261	82
36	358	255	103
37	349	255	94
38	331	249	82
39	348	254	94
40	338	254	84
41	314	261	53
42	311	265	46
43	316	264	52
44	337	254	83
45	327	255	72
46	336	262	74
47	335	260	75
48	342	259	83
49	340	268	72
50	361	256	105
51	346	259	87
52	327	259	68
53	319	257	62
54	346	255	91
55	337	260	77
56	333	251	82
57	340	256	84
58	343	271	72
59	362	267	95
60	342	261	81
61	305	273	32
62	329	265	64
63	337	270	67
64	340	265	75
65	340	264	76
66	341	266	75
67	325	273	52
68	355	258	97
69	353	262	91
70	341	262	79
71	344	260	84
72	342	260	82
73	334	261	73
74	321	260	61
75	325	265	60
76	329	251	78
77	316	263	53
78	319	264	55
79	336	266	70
80	336	265	71
81	363	264	99
82	367	258	109
83	335	266	69
84	348	271	77
85	333	266	67
86	331	253	78
87	336	259	77
88	336	257	79
89	316	267	49
90	325	270	55
91	320	275	45
92	323	260	63
93	351	258	93
94	341	264	77
95	341	279	62
96	360	272	88
97	352	270	82
98	350	272	78
99	350	274	76
100	357	266	91
101	317	270	47
102	339	258	81
103	336	260	76
104	347	264	83
105	342	263	79
106	346	266	80
107	340	266	74
108	309	273	36
109	308	279	29
110	329	263	66
111	334	260	74
112	354	267	87
113	338	275	63
114	356	270	86
115	340	265	75
116	357	269	88
117	356	271	85
118	354	264	90
119	324	269	55
120	323	282	41
121	314	278	36
122	329	262	67
123	342	271	71
124	340	261	79
125	345	272	73
126	364	260	104
127	351	259	92
128	342	264	78
129	331	272	59
130	314	272	42
131	334	272	62
132	349	263	86
133	321	270	51
134	319	271	48
135	346	270	76
136	356	271	85
137	335	277	58
138	351	273	78
139	343	270	73
140	337	269	68
141	348	270	78
142	372	266	106
143	325	283	42
144	325	282	43
145	337	279	58
146	347	277	70
147	319	274	45
148	324	262	62
149	356	259	97
150	367	268	99
151	340	280	60
152	332	277	55
153	343	272	71
154	335	272	63
155	345	288	57
156	349	270	79
157	338	263	75
158	353	269	84
159	346	272	74
160	324	267	57
161	329	276	53
162	334	274	60
163	309	269	40
164	312	261	51
165	334	266	68
166	346	264	82
167	334	268	66
168	330	265	65
169	313	275	38
170	332	270	62
171	329	268	61
172	321	264	57
173	333	275	58
174	335	271	64
175	339	271	68
176	323	268	55
177	309	271	38
178	308	262	46
179	318	278	40
180	344	276	68
181	345	280	65
182	341	272	69
183	322	270	52
184	339	270	69
185	343	278	65
186	337	275	62
187	333	274	59
188	317	272	45
189	331	273	58
190	324	272	52
191	312	267	45
192	333	260	73
193	320	263	57
194	319	267	52
195	328	280	48
196	335	260	75
197	348	265	83
198	346	276	70
199	336	280	56
200	331	273	58
201	343	271	72
202	337	257	80
203	334	269	65
204	351	265	86
205	340	267	73
206	320	265	55
207	339	269	70
208	340	269	71
209	315	269	46
210	335	274	61
211	353	282	71
212	337	268	69
213	322	275	47
214	334	270	64
215	328	275	53
216	360	273	87
217	359	271	88
218	345	271	74
219	336	269	67
220	337	273	64
221	337	283	54
222	349	276	73
223	322	280	42
224	325	281	44
225	334	281	53
226	345	272	73
227	344	274	70
228	340	265	75
229	337	276	61
230	344	269	75
231	347	272	75
232	358	275	83
233	370	275	95
234	354	273	81
235	326	268	58
236	342	267	75
237	349	274	75
238	333	269	64
239	336	273	63
240	346	272	74
241	342	280	62
242	321	283	38
243	306	271	35
244	325	267	58
245	330	271	59
246	345	265	80
247	359	266	93
248	342	264	78
249	347	276	71
250	346	267	79
251	321	270	51
252	320	267	53
253	329	269	60
254	340	260	80
255	321	270	51
256	346	267	79
257	359	274	85
258	345	276	69
259	330	277	53
260	329	265	64
261	336	263	73
262	342	262	80
263	332	269	63
264	361	265	96
265	345	279	66
266	318	266	52
267	339	274	65
268	367	277	90
269	342	277	65
270	327	273	54
271	316	275	41
272	316	271	45
273	326	272	54
274	336	267	69
275	329	269	60
276	326	273	53
277	336	280	56
278	344	279	65
279	356	277	79
280	327	269	58
281	312	274	38
282	337	269	68
283	330	269	61
284	332	264	68
285	341	264	77
286	330	260	70
287	333	270	63
288	326	262	64
289	316	264	52
290	324	272	52
291	315	281	34
292	324	273	51
293	333	270	63
294	346	261	85
295	366	263	103
296	354	264	90
297	316	270	46
298	333	278	55
299	346	286	60
300	330	270	60
301	342	271	71
